domain,outcome,http_status,protocol_version,capabilities,catalogue_searchable,blockers,top_blocker
mobilifiver.com,checked,200,2026-08-25,9,yes,0,
langwill.com,checked,200,2026-08-25,9,yes,0,
bestrealdoll.com,checked,200,2026-08-25,9,yes,0,
alexandani.com,checked,200,2026-08-25,9,yes,0,
nitroapps.co,checked,200,2026-08-25,9,yes,0,
cascadedesigns.com,checked,200,2026-08-25,9,yes,0,
madonna.com,checked,200,2026-08-25,8,yes,0,
gamersupps.gg,checked,200,2026-08-25,9,yes,0,
cocacoca.jp,checked,200,2026-08-25,8,yes,0,
jwpei.com,checked,200,2026-08-25,8,yes,0,
spitfireaudio.com,checked,200,2026-08-25,9,yes,0,
snocks.com,checked,200,2026-08-25,9,yes,0,
uspoloassn.com,checked,200,2026-08-25,9,yes,0,
insiderstore.com.br,checked,200,2026-08-25,8,yes,0,
tumatera.co,checked,200,2026-08-25,9,yes,0,
baublebar.com,checked,200,2026-08-25,8,yes,0,
stussy.com,checked,200,2026-08-25,8,yes,0,
exclusivebooks.co.za,checked,200,2026-08-25,8,yes,0,
ayntec.com,checked,200,2026-08-25,9,yes,0,
chroniclebooks.com,checked,200,2026-08-25,9,yes,0,
littlesleepies.com,checked,200,2026-08-25,8,yes,0,
mellerbrand.com,checked,200,2026-08-25,8,yes,0,
jefferspet.com,checked,200,2026-08-25,9,yes,0,
calliope.style,checked,200,2026-08-25,8,yes,0,
asphaltgold.com,checked,200,2026-08-25,9,yes,0,
billyj.com.au,checked,200,2026-08-25,8,yes,0,
westside.com,checked,200,2026-08-25,8,yes,0,
compex.com,checked,200,2026-08-25,9,yes,0,
silbonshop.com,checked,200,2026-08-25,9,yes,0,
hobbii.de,checked,200,2026-08-25,9,yes,0,
mamaearth.in,checked,200,2026-08-25,8,yes,0,
stokomani.fr,checked,200,2026-08-25,9,yes,0,
yamamay.com,checked,200,2026-08-25,9,yes,0,
lifx.com,checked,200,2026-08-25,9,yes,0,
asimjofa.com,checked,200,2026-08-25,8,yes,0,
carpisa.it,checked,200,2026-08-25,9,yes,0,
supertails.com,checked,200,2026-08-25,9,yes,0,
cliveshoes.com,checked,200,2026-08-25,8,yes,0,
pinkcherry.com,checked,200,2026-08-25,9,yes,0,
madesa.com,checked,200,2026-08-25,8,yes,0,
woodcraft.com,checked,200,2026-08-25,9,yes,0,
printyourwear.com,checked,200,2026-08-25,9,yes,0,
